Genre,Year,Title,From,Extras,Remarks
"Action, Drama, History ",2002,We Were Soldiers,TELE2,NA,
Crime|Drama|Thriller,1994,Killing Zoe,TELE2,NA,
Drama|Thriller,2001,Tangled,TELE2,NA,
Action|Thriller,2006,Striking Range,TELE2,NA,
Thriller,2005,Movin' Too Fast,TELE2,NA,
Crime|Drama|Thriller,2002,One Way Out,TELE2,NA,
Action|War,2003,Marines,TELE2,NA,
Drama|Thriller,2004,"""06-05""",TELE2,NA,
Action|Adventure|Drama|Romance,2004,Puerto Vallarta Squeeze,TELE2,NA,
Action|Crime|Drama|Thriller,2003,Kill Bill: Vol. 1,DVDR,,
Action|Crime|Drama|Thriller,2004,Kill Bill: Vol. 2,DVDR,,
Crime|Drama|Thriller,1997,Jackie Brown,TV,NA,
Drama|Romance,1991,Changes,TV,NA,
Drama|Action|Thriller|Crime,2003,I Witness,TELE2,NA,
Action|War,2003,Special Forces,TELE2,NA,
Crime|Drama,2005,Lord of War,TELE2,NA,
Biography|Comedy|Drama|Fantasy,1998,Fear and Loathing in Las Vegas,TELE2,NA,
Action|Crime|Drama|Thriller,2001,Black Point,TELE2,NA,
Crime|Drama|Thriller,2000,The Yards,TELE2,NA,
Action|Drama|Horror|Thriller,1999,Revelation,TELE2,NA,
Comedy|Crime|Romance|Thriller,2007,You Kill Me,TELE2,NA,
Comedy,2006,Dead Lenny,TELE2,NA,
Drama|Romance|Thriller,2001,Angel Eyes,TV,NA,
Crime|Drama,2002,Gangs of New York,DVD,Yes,
Adventure|Comedy|Family|Fantasy,1999,Astérix et Obélix contre César,DVD,No,
Action|Biography|Drama|War,1995,Braveheart,DVDR,No,
Action|Sci-Fi|Thriller,2005,The Island,DVDR,Yes,
Drama|Mystery|Romance,1999,Random Hearts,DVD,Yes,
,,FBI: The Neogotiator,TELE2,NA,
,,The Stick Up,TELE2,NA,
,,Sacrifice,TELE2,NA,
Documentary,2006,An Inconvenient Truth,DVDR,No,
Crime|Drama|Thriller,2005,Munich,DVD,Yes,
Romance|Drama,2004,Dirty Dancing 2,DVD,Yes,
Drama|Sport,2005,Coach Carter,DVD,Yes,
Action|Adventure|Thriller,2000,Vertical Limit,DVD,Yes,
Drama|Thriller,2002,Enough,DVD,Yes,
Action|Crime|Thriller,2000,Gone in Sixty Seconds ,DVD,Yes,
Action|Crime,2003,S.W.A.T.,DVD,Yes,
Action|Crime|Drama|Thriller ,2002,Dark Blue,DVD,Yes,
Crime|Drama|Thriller,2000,Traffic,TV,NA,
Mystery|Thriller,2004,Stille Nacht,TV,NA,
Action|Drama|War,1986,Platoon,TV,NA,
Thriller,2002,Phone Booth,DVDR,,
Comedy|Romance,2002,Maid in Manhattan,TV,NA,
Action|Crime|Drama|Romance|Thriller ,1989,Road House,DVDR,NA,
Crime|Drama,2003,Van God Los ,TV,NA,
Action|Crime|Thriller,2000,Lek,TV,NA,
Action|Drama|Thriller|War,2000,Rules of Engagement ,DVD,No,
Crime|Drama ,1995,Dead Man Walking ,DVDR,,
Action|Adventure|Comedy|Thriller,2002,Bad Company,TV,NA,
Action|Sport,2006,Rocky Balboa,TV,NA,
Action|Sport,1990,Rocky V,TV,NA,
Action|Drama|Sport ,1985,Rocky IV,TV,NA,
Action|Drama|Sport ,1982,Rocky III,TV,NA,
Action|Drama|Sport ,1979,Rocky II,TV,NA,
Drama|Romance|Sport  ,1976,Rocky,TV,NA,
Action|Adventure|Drama,2006,Apocalypto,DVDR,Yes,
Drama|Action|Crime ,2002,Paid in Full ,TELE2,NA,
Crime|Drama|Horror|Mystery|Thriller,2004,Taking Lives,TELE2,NA,
Drama|History ,1998,Studio 54,TELE2,NA,
Action|Drama|War,2006,Home of the Brave,TELE2,NA,
Adventure|Action|Thriller ,2002,xXx,TV,NA,
Drama,2003,Interview,TV,NA,
Drama|Romance  ,1998,The Horse Whisperer,TV,NA,
Action|Crime|Drama|Mystery|Thriller ,1988,The Presidio,TV,NA,
Drama,2004,Behind the Camera: The Unauthorized Story of 'Charlie's Angels'  ,TV,NA,
Action|Crime|Drama|Thriller,2000,Shaft,DVDR,,
Action|Crime|Adventure|Thriller ,2005,xXx: State of the Union,TV,NA,
Crime|Romance|Thriller,1999,Entrapment,TV,NA,
Action|Drama|Mystery|Thriller ,1991,Backdraft,DVDR,,
Drama|Thriller ,1986,Extremities,TV,NA,
Drama|Romance ,2002,Oesters van Nam Kee,TV,NA,
Comedy,2004,Ellis in Glamourland ,TV,NA,
Adult,1972,Deep Throat,TV,NA,
Crime|Drama ,2000,Ihaka: Blunt Instrument ,TV,NA,
Thriller|Drama,1995,Without Evidence,TELE2,NA,
Documentary|Comedy|Drama ,2004,Fahrenheit 9/11,TV,NA,
Documentary,2002,"""9-11""",TV,NA,
Comedy|Drama|Romance,2003,Under the Tuscan Sun,DVDR,,
Action|Drama|Romance ,1997,Goodbye America,DVD,No,
Drama|Romance|Comedy ,2004,The Terminal ,DVD,Yes,2-DVDs
Drama,1994,The Shawshank Redemption,DVD,No,
Comedy|Drama|Thriller ,1995,To Die For,DVD,No,
Action|Crime|Drama|Thriller ,2001,15 Minutes,DVD,Yes,
Drama,1975,Murder on Flight 502,DVD,No,
Biography|Drama|Sport|War  ,2002,Joe and Max,DVD,No,
Adventure|Romance|War,1992,The Last of the Mohicans,DVD,Yes,
Drama|Crime ,2004,Redemption: The Stan Tookie Williams Story,DVD,Yes,
Action|Drama|Romance|War  ,2001,Pearl Harbor,DVD,No,
Romance|Drama,1999,A Secret Affair,DVD,Yes,No dutch subtitles
Drama|Mystery|Romance,2004,Birth,DVD,Yes,
Crime|Horror|Thriller,1991,Cape Fear,DVD,Yes,2-DVDs
Drama|Music|Romance,1984,Purple Rain,DVD,Yes,2-DVDs
Crime|Drama,1998,American History X,DVD,No,
Crime|Drama|Mystery|Thriller,2000,Memento,DVD,Yes,
Drama,1997,Eve's Bayou,DVD,No,
Drama|Thriller,1997,One Eight Seven,DVD,No,
Biography|Crime|Drama,1990,Goodfellas,DVD,Yes,
Comedy|Romance,1997,Little City,DVD,No,
Action|Adventure|Comedy|Fantasy,2003,Pirates of the Caribbean: The Curse of the Black Pearl,DVD,Yes,2-DVDs
Action,2002,Sniper 2,DVD,No,
Comedy | Romance | Thriller,1992,Honeymoon in Vegas,DVD,No,
Adventure|Comedy|Crime|Drama|Romance|Thriller,1990,Wild at Heart,DVD,Yes,
Drama|Fantasy|Sci-Fi|Thriller,2004,The Butterfly Effect,DVD,Yes,
Action|Crime|Drama|Sport,2006,Undisputed II: Last Man Standing,DVD,Yes,
Adventure|Biography|Drama,2007,Into the Wild,DVD,Yes,2-DVDs
Horror|Thriller,2008,The Strangers,DVDR,,
Action|Comedy|Crime ,2007,Code Name: The Cleaner,DVDR,,
Action|Fantasy|Thriller ,2007,Ghost Rider,DVDR,,
Action|Crime|Drama|Western ,2007,3:10 to Yuma,DVDR,,
Biography|Drama,2007,"Romulus, My Father",DVDR,,
Crime|Drama ,2006,A Guide to Recognizing Your Saints,DVDR,,
Action|Drama|Thriller,2007,Death Sentence,DVDR,,
Drama|Romance ,2008,Zomerhitte,DVDR,,
Crime|Drama|Thriller,2007,No Country for Old Men,DVDR,Yes,
Drama|Thriller,2006,The Last King of Scotland,DVDR,,
Drama|Musical|Romance,2007,Stomp the Yard ,DVDR,,
Action|Drama|Thriller,2007,The Kingdom,DVDR,Yes,
Action|Adventure|Thriller ,2006,Casino Royale,DVDR,,
Crime|Drama|Thriller ,2007,We Own the Night,DVDR,,
Crime|Thriller  ,2008,Untraceable,DVDR,,
Drama|Thriller,2007,There Will Be Blood  ,DVDR,,
Comedy|Drama|Romance ,2005,Trust the Man,DVDR,,
Adventure|Mystery|Sci-Fi ,2008,The Happening,DVDR,,
Western|Adventure|Drama,2005,Into the West,DVDR,,
Crime|Drama|Mystery|Thriller,2007,In the Valley of Elah,DVDR,,
Action|Adventure|Drama|Romance|War ,2006,Flyboys,DVDR,,
Crime|Drama|Mystery,2007,Gone Baby Gone,DVDR,,
Biography|Drama|History|Thriller ,2007,A Mighty Heart,DVDR,,
Action|Comedy|Crime|Drama|Thriller,2001,Exit Wounds,DVDR,,
Drama,2005,Fierce People,DVDR,,
Crime,2007,Death Proof,DVDR,,
Drama|Thriller ,2007,Reservation Road,DVDR,,
Action|Horror|Sci-Fi|Thriller ,2007,Planet Terror,DVDR,,
Biography|Crime|Drama|Romance   ,2003,Monster,DVD,Yes,
Action|Crime|Thriller|Western,1992,"Mariachi, El",DVDR,,
Drama|Mystery|Thriller,2001,Mulholland Dr.,DVDR,,
Crime|Drama|Thriller,1992,Reservoir Dogs,DVDR,,
Crime|Drama,1984,Once Upon a Time in America,DVDR,No,2-DVDS
Drama,2007,Ben X,DVD,Yes,2-DVDS
Drama|Romance,2007,The Kite Runner,DVDR,,
Crime|Drama|Thriller,2008,The Bank Job,DVDR,,
Crime|Thriller  ,2007,Cleaner,DVDR,,
Crime|Drama|Western ,2008,Appaloosa,DVDR,,
Action|Adventure|Thriller ,2008,Quantum of Solace,DVDR,,
Crime|Drama|Thriller,2008,Pride and Glory,DVDR,No,
Action|Drama|Thriller,2008,Body of Lies,DVDR,No,
Drama|Music|Romance,2004,As it is in heaven,DVD,No,
Drama|Thriller ,2001,Springstof,DVD,No,
Drama|Mystery|Action|Crime,2003,Paradijs,DVD,No,
Drama|Music|Romance,2003,Honey ,DVDR,,
Comedy,2003,Chasing Papi,TV,NA,
"Drama, Crime, Thriller ",1999,Excellent Cadavers,DVDR,Yes,
"Biography, Drama",2006,"Giovanni Falcone, l'uomo che sfidò Cosa Nostra",DVDR,,2-DVDs
Biography|Crime|Drama|History|Thriller ,2004,The Assassination of Richard Nixon,DVDR,No,
Action|Crime|Drama|Thriller,2006,Waist Deep,DVDR,Yes,
